Water Name,County,Species,Quantity,Ave Length,Date
BURRASTON PONDS,JUAB,RAINBOW,1001,8.84,03/24/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1001,9.14,04/07/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1018,11.08,04/14/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1004,10.77,04/18/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1036,10.9,04/25/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,0,10.39,05/09/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,2019,10.39,05/09/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,0,10.39,05/09/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,0,10.39,05/09/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1999,10.37,05/19/2005 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1041,8.86,09/29/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,500,10.18,06/29/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,500,10.36,07/06/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW ALBINO,250,11.6,07/06/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,500,10.77,07/11/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW ALBINO,251,11.6,07/12/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,500,10.77,07/18/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW ALBINO,500,12.02,07/27/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,511,10.39,08/03/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW ALBINO,500,12.57,08/09/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,499,10.42,08/16/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,BROOK TROUT,1050,2.88,08/16/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,400,10.42,08/23/2005 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,502,10.3,08/29/2005 12:00:00 AM
CALDER RES,UINTAH,RAINBOW,870,10.77,05/23/2005 12:00:00 AM
CALDER RES,UINTAH,RAINBOW,870,10.77,05/23/2005 12:00:00 AM
CALDER RES,UINTAH,RAINBOW,20016,3.26,06/06/2005 12:00:00 AM
CAMP KOSTOPAULUS,SALT LAKE,RAINBOW,459,9.65,06/03/2005 12:00:00 AM
CAMP KOSTOPAULUS,SALT LAKE,RAINBOW ALBINO,51,11.16,06/03/2005 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,501,8.84,03/29/2005 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,251,9.210000000000001,04/19/2005 12:00:00 AM
CANYON VIEW PARK PD,UTAH,BULLHEAD CHANNEL CAT,188,14.94,05/13/2005 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,299,10.28,05/25/2005 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,299,10.28,06/16/2005 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,400,11.61,08/10/2005 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,398,11.16,08/30/2005 12:00:00 AM
CANYON VIEW PARK PD,UTAH,RAINBOW,301,12.14,09/16/2005 12:00:00 AM
CART CR,DAGGETT,RAINBOW,506,10.44,06/27/2005 12:00:00 AM
CART CR,DAGGETT,RAINBOW,502,10.96,07/20/2005 12:00:00 AM
CARTER CR,DAGGETT,RAINBOW,396,10.44,06/27/2005 12:00:00 AM
CARTER CR,DAGGETT,RAINBOW,391,10.96,07/20/2005 12:00:00 AM
CASPERS POND,CACHE,RAINBOW,360,10,05/17/2005 12:00:00 AM
CASPERS POND,CACHE,RAINBOW,390,10.96,06/29/2005 12:00:00 AM
CATHERINE L,SALT LAKE,BROOK TROUT,2506,2.65,07/19/2005 12:00:00 AM
CAUSEY RES,WEBER,RAINBOW,1041,10.42,07/27/2005 12:00:00 AM
CAUSEY RES,WEBER,RAINBOW,1041,10.42,07/27/2005 12:00:00 AM
CAUSEY RES,WEBER,RAINBOW,1041,10.42,07/27/2005 12:00:00 AM
CAUSEY RES,WEBER,SPLAKE,10763,4.8,09/08/2005 12:00:00 AM
CAUSEY RES,WEBER,SPLAKE,10500,4.8,09/08/2005 12:00:00 AM
CENTER CR,GARFIELD,CUTTHROAT,2572,1.9,10/12/2005 12:00:00 AM
CHINA L G-21,SUMMIT,BROOK TROUT,7799,2.65,07/15/2005 12:00:00 AM
CHINA L G-21,SUMMIT,GRAYLING ARCTIC,990,0.76,07/18/2005 12:00:00 AM
CHUCK L BTN,GARFIELD,BROOK TROUT,97,2.34,07/10/2005 12:00:00 AM
CHUCK L BTN,GARFIELD,CUTTHROAT,500,1.94,10/04/2005 12:00:00 AM
CLEAR L NBS,WAYNE,TIGER TROUT,200,3.84,07/11/2005 12:00:00 AM
CLEAR L NBS,WAYNE,CUTTHROAT,50,1.94,10/04/2005 12:00:00 AM
CLEVELAND RES,EMERY,RAINBOW,2002,9.539999999999999,06/15/2005 12:00:00 AM
CLEVELAND RES,EMERY,RAINBOW,2002,9.539999999999999,06/15/2005 12:00:00 AM
CLINTON POND,DAVIS,RAINBOW,1002,9.210000000000001,04/01/2005 12:00:00 AM
CLINTON POND,DAVIS,RAINBOW,1001,8.94,04/12/2005 12:00:00 AM
CLINTON POND,DAVIS,RAINBOW,899,9.210000000000001,04/26/2005 12:00:00 AM
CLINTON POND,DAVIS,BULLHEAD CHANNEL CAT,563,14.94,05/13/2005 12:00:00 AM
CLINTON POND,DAVIS,BULLHEAD CHANNEL CAT,250,17.88,05/26/2005 12:00:00 AM
CLINTON POND,DAVIS,BULLHEAD CHANNEL CAT,250,17.88,06/10/2005 12:00:00 AM
CLINTON POND,DAVIS,BULLHEAD CHANNEL CAT,125,17.88,06/23/2005 12:00:00 AM
CLINTON POND,DAVIS,BULLHEAD CHANNEL CAT,375,15.62,07/07/2005 12:00:00 AM
CLINTON POND,DAVIS,BULLHEAD CHANNEL CAT,375,15.62,08/29/2005 12:00:00 AM
CLINTON POND,DAVIS,RAINBOW,650,12.44,10/13/2005 12:00:00 AM
CLINTON POND,DAVIS,BROOK TROUT,261,12.28,12/08/2005 12:00:00 AM
CLINTON POND,DAVIS,BROOK TROUT,540,12.28,12/08/2005 12:00:00 AM
CLINTON POND,DAVIS,BROOK TROUT,100,14.94,12/08/2005 12:00:00 AM
CLINTON POND CR,DAVIS,BULLHEAD CHANNEL CAT,375,14.94,07/18/2005 12:00:00 AM
COLD SPRING L,SEVIER,RAINBOW,436,10.18,06/20/2005 12:00:00 AM
COLD SPRING L,SEVIER,RAINBOW,563,10.15,07/19/2005 12:00:00 AM
COLD SPRING L,SEVIER,RAINBOW,563,10.81,08/16/2005 12:00:00 AM
COLD SPRING LAKES,BOX ELDER,RAINBOW,1755,10,05/23/2005 12:00:00 AM
COLD SPRING LAKES,BOX ELDER,RAINBOW,1755,10,05/23/2005 12:00:00 AM
COLD SPRING LAKES,BOX ELDER,RAINBOW,7995,5.18,09/20/2005 12:00:00 AM
COLORADO R,SAN JUAN,CHUB,3501,7.04,09/20/2005 12:00:00 AM
COMMUNITY L,SANPETE,RAINBOW,999,9.92,06/10/2005 12:00:00 AM
COMMUNITY L,SANPETE,RAINBOW,499,10.41,06/22/2005 12:00:00 AM
COMMUNITY L,SANPETE,RAINBOW,578,11.25,06/27/2005 12:00:00 AM
COMMUNITY L,SANPETE,RAINBOW,520,10.07,07/07/2005 12:00:00 AM
COMMUNITY L,SANPETE,RAINBOW,825,9.789999999999999,07/22/2005 12:00:00 AM
COMMUNITY L,SANPETE,RAINBOW,500,10.42,07/27/2005 12:00:00 AM
COMMUNITY L,SANPETE,RAINBOW,902,10.79,08/12/2005 12:00:00 AM
COOK L BT,WAYNE,RAINBOW,781,10.43,06/30/2005 12:00:00 AM
COOK L BT,WAYNE,BROOK TROUT,504,2.34,07/10/2005 12:00:00 AM
CORNER BEAVER #2,SANPETE,BROOK TROUT,100,3.12,08/04/2005 12:00:00 AM
COTTONWOOD CR,EMERY,BROWN TROUT,2506,5.21,06/16/2005 12:00:00 AM
COTTONWOOD RES,UINTAH,RAINBOW,35112,3.2,06/06/2005 12:00:00 AM
COTTONWOOD RES,UINTAH,MUSKIE TIGER,500,1.96,06/09/2005 12:00:00 AM
COVE L,SANPETE,TIGER TROUT,1000,3.84,07/19/2005 12:00:00 AM
COVE L,SANPETE,RAINBOW,637,10.96,07/19/2005 12:00:00 AM
CRATER L BTS,GARFIELD,BROOK TROUT,296,2.33,07/10/2005 12:00:00 AM
CRATER L BTS,GARFIELD,GRAYLING ARCTIC,990,0.76,07/18/2005 12:00:00 AM
