Water Name,County,Species,Quantity,Ave Length,Date
BROUGH RES,UINTAH,BROWN TROUT,707,4.54,06/25/2008 12:00:00 AM
BROWNE L,DAGGETT,RAINBOW,438,9.92,06/19/2008 12:00:00 AM
BROWNE L,DAGGETT,RAINBOW,455,9.789999999999999,07/01/2008 12:00:00 AM
BROWNE L,DAGGETT,RAINBOW,438,9.92,07/23/2008 12:00:00 AM
BROWNS DRAW RES,DUCHESNE,RAINBOW,30140,2.83,05/06/2008 12:00:00 AM
BUCKEYE L A-3,SUMMIT,BROOK TROUT,500,2.92,07/08/2008 12:00:00 AM
"BULBERRY L, SOUTH",WAYNE,TIGER TROUT,100,4.08,07/22/2008 12:00:00 AM
BULLBERRY L#4(NORTH),WAYNE,TIGER TROUT,200,4.08,07/22/2008 12:00:00 AM
BULLOCK RES,UINTAH,RAINBOW,1558,7.99,04/23/2008 12:00:00 AM
BURCH CR,WEBER,RAINBOW,251,9.4,05/06/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,2000,10.01,04/21/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1001,9.880000000000001,05/06/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1000,9.57,05/19/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,0,9.57,05/19/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1999,9.58,06/02/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,998,9.81,06/17/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,999,9.24,07/01/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1000,9.75,07/15/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1000,9.75,07/28/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1001,10.57,08/11/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1501,10.73,08/25/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,630,10.91,09/15/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1000,11.08,09/23/2008 12:00:00 AM
BURRASTON PONDS,JUAB,RAINBOW,1000,11.08,09/23/2008 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,502,9.93,06/23/2008 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW ALBINO,250,11.06,07/02/2008 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,499,10.28,07/03/2008 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,500,10.77,07/10/2008 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,BROOK TROUT,1000,2.92,07/11/2008 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW ALBINO,249,10.96,07/16/2008 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,300,10.77,07/16/2008 12:00:00 AM
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,598,10.28,07/22/2008 12:00:00 AM
